bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
4,"major","Highest","Windows","Abc@gmail.com","NEW","---","Validation alert in User name box in value numeric & special character"
8,"critical","Highest","Windows","Abc@gmail.com","NEW","---","Name box characters limit not provide"
9,"critical","Highest","Windows","Abc@gmail.com","NEW","---","Your Quest box  characters limit not provide"
5,"minor","High","Windows","Abc@gmail.com","NEW","---","Validation alert in Message Box but Box is Blank"
6,"major","High","Windows","Abc@gmail.com","NEW","---","Validation alert not provide  in name box in special character & numeric"
7,"major","High","Windows","Abc@gmail.com","NEW","---","Validation alert not provide in name box value in special character & numeric & blank"
3,"normal","Lowest","Windows","Abc@gmail.com","NEW","---","""Check Search Suggestion in scroll not proper work """
10,"enhancement","---","Windows","Abc@gmail.com","NEW","---","Click Launch Candymapper page not open"
1,"enhancement","---","Windows","tops@tops-int.com","NEW","---","aaa"
2,"minor","---","Windows","tops@tops-int.com","NEW","---","bbb"
